Journal Name,Year Founded,Year S2O-OA initiated,Year S2O ended,Publisher Location,Affiliation,Current Publisher,Discipline,Has author-side fees?,ISSN-L,Wikidata,openAlexID,2020-Count,2021-Count,2022-Count,2023-Count,2024-Count,2025-Count
Advertising & Society Quarterly,2000,2025,N/A,USA,American Academy of Advertising,Advertising Educational Foundation,SSH,No,2475-1790,Q57268044,S4210207892,NA,NA,NA,NA,NA,48
Journal of Applied Physics,1931,2024,N/A,USA,The American Institute of Physics (AIP),American Institute of Physics Publishing,PSM,No,0021-8979,Q1987941,S187991544,NA,NA,NA,NA,1753,1947
Physics of Plasmas,1994,2024,N/A,USA,The American Institute of Physics (AIP),American Institute of Physics Publishing,PSM,No,1070-664X,Q2404507,S66354037,NA,NA,NA,NA,913,939
Antimicrobial Agents and Chemotherapy®,1972,2025,N/A,USA,American Society for Microbiology,American Society for Microbiology,LS,Yes,0066-4804,Q578004,S47215897,NA,NA,NA,NA,NA,438
Applied and Environmental Microbiology®,1953,2025,N/A,USA,American Society for Microbiology,American Society for Microbiology,LS,Yes,0099-2240,Q4781593,S158228368,NA,NA,NA,NA,NA,652
Infection and Immunity®,1967,2025,N/A,USA,American Society for Microbiology,American Society for Microbiology,LS,Yes,0019-9567,Q6029193,S128227336,NA,NA,NA,NA,NA,176
Journal of Bacteriology®,1916,2025,N/A,USA,American Society for Microbiology,American Society for Microbiology,LS,Yes,0021-9193,Q478419,S133274750,NA,NA,NA,NA,NA,244
Journal of Clinical Microbiology®,1975,2025,N/A,USA,American Society for Microbiology,American Society for Microbiology,LS,Yes,0095-1137,Q4041880,S53087977,NA,NA,NA,NA,NA,269
Journal of Virology®,1967,2025,N/A,USA,American Society for Microbiology,American Society for Microbiology,LS,Yes,0022-538X,Q1251128,S96615428,NA,NA,NA,NA,NA,748
DNK Documentatieblad voor de Nederlandse kerkgeschiedenis na 1800,1977,2021,N/A,The Netherlands,(none),Amsterdam University Press,SSH,No,0923-7771,Q15766677,S4210183614,NA,31,15,12,15,11
Pedagogiek,1981,2021,N/A,The Netherlands,(none),Amsterdam University Press,SSH,No,1567-7109,Q96724108,S4210169714,NA,36,24,18,21,15
Queeste: Journal of Medieval Literature in the Low Countries,1994,2022,N/A,The Netherlands,(none),Amsterdam University Press,SSH,No,0929-8592,Q15763972,S4210180492,NA,NA,NA,15,13,15
Tijdschrift voor Genderstudies,1998,2023,N/A,The Netherlands,(none),Amsterdam University Press,SSH,No,1388-3186,Q15753030,s4210197315,NA,NA,NA,39,39,45
Tijdschrift voor Geschiedenis,1886,2021,N/A,The Netherlands,(none),Amsterdam University Press,SSH,No,0040-7518,Q15759340,S129808133,NA,112,89,67,81,61
Tijdschrift voor Taalbeheersing,1979,2021,N/A,The Netherlands,(none),Amsterdam University Press,SSH,No,1573-9775,Q96738100,S4210203645,NA,13,14,4,10,9
Trajecta: Religion Culture and Society in the Low Countries,1992,2021,N/A,The Netherlands,(none),Amsterdam University Press,SSH,No,0778-8304,Q19720531,S4210229827,NA,15,5,4,4,7
Annual Review of Analytical Chemistry,2008,2023,N/A,USA,(none),Annual Reviews,LS,No,1936-1327,Q4769664,S171259723,NA,NA,NA,21,22,23
Annual Review of Animal Biosciences,2013,2023,N/A,USA,(none),Annual Reviews,LS,No,2165-8102,Q26853826,S2491293328,NA,NA,NA,23,28,17
Annual Review of Anthropology,1972,2023,N/A,USA,(none),Annual Reviews,SSH,No,0084-6570,Q4769665,S195167216,NA,NA,NA,30,24,29
Annual Review of Astronomy and Astrophysics,1963,2023,N/A,USA,(none),Annual Reviews,PSM,No,0066-4146,Q2390413,S29882555,NA,NA,NA,15,15,13
Annual Review of Biochemistry,1932,2023,N/A,USA,(none),Annual Reviews,LS,No,0066-4154,Q567356,S53860259,NA,NA,NA,21,21,21
Annual Review of Biomedical Data Science,1932,2023,N/A,USA,(none),Annual Reviews,LS,No,2574-3414,Q96320962,S4210232080,NA,NA,NA,23,20,27
Annual Review of Biomedical Engineering,1999,2021,N/A,USA,(none),Annual Reviews,LS,No,1523-9829,Q4769667,S171268996,NA,24,13,20,22,20
Annual Review of Biophysics,1972,2023,N/A,USA,(none),Annual Reviews,LS,No,1936-122X,Q4034062,S4157722,NA,NA,NA,34,18,22
Annual Review of Cancer Biology,2017,2020,N/A,USA,(none),Annual Reviews,LS,No,2472-3428,Q96320109,S4210178937,21,13,10,29,26,21
Annual Review of Cell and Developmental Biology,1985,2023,N/A,USA,(none),Annual Reviews,LS,No,1081-0706,Q4497277,S93285647,NA,NA,NA,19,19,23
Annual Review of Chemical and Biomolecular Engineering,2010,2023,N/A,USA,(none),Annual Reviews,LS,No,1947-5438,Q4769670,S161759566,NA,NA,NA,18,16,20
Annual Review of Clinical Psychology,2005,2023,N/A,USA,(none),Annual Reviews,SSH,No,1548-5943,Q15750423,S87014875,NA,NA,NA,20,20,24
Annual Review of Condensed Matter Physics,2010,2023,N/A,USA,(none),Annual Reviews,PSM,No,1947-5454,Q5126422,S185750702,NA,NA,NA,15,20,19
"Annual Review of Control, Robotics, and Autonomous Systems",2018,2023,N/A,USA,(none),Annual Reviews,PSM,No,2573-5144,Q96320655,S4210191328,NA,NA,NA,21,14,20
Annual Review of Criminology,2018,2023,N/A,USA,(none),Annual Reviews,SSH,No,2572-4568,Q96320223,S4210217772,NA,NA,NA,19,17,23
Annual Review of Developmental Psychology,2019,2023,N/A,USA,(none),Annual Reviews,SSH,No,2640-7922,Q96319262,S4210209873,NA,NA,NA,20,22,22
Annual Review of Earth and Planetary Sciences,1973,2023,N/A,USA,(none),Annual Reviews,PSM,No,0084-6597,Q2448759,S135981667,NA,NA,NA,25,28,26
"Annual Review of Ecology, Evolution, and Systematics",1970,2023,N/A,USA,(none),Annual Reviews,LS,No,1543-592X,Q4034066,S119405978,NA,NA,NA,23,21,27
Annual Review of Economics,2009,2023,N/A,USA,(none),Annual Reviews,SSH,No,1941-1383,Q1619169,S196715598,NA,NA,NA,29,23,30
Annual Review of Entomology,1956,2023,N/A,USA,(none),Annual Reviews,LS,No,0066-4170,Q15756317,S92576693,NA,NA,NA,26,24,35
Annual Review of Environment and Resources,1976,2020,N/A,USA,(none),Annual Reviews,LS,No,1543-5938,Q15716736,S5491134,19,27,33,33,27,29
Annual Review of Financial Economics,2009,2023,N/A,USA,(none),Annual Reviews,SSH,No,1941-1367,Q28089660,S4210170931,NA,NA,NA,33,19,21
Annual Review of Fluid Mechanics,1969,2023,N/A,USA,(none),Annual Reviews,PSM,No,0066-4189,Q15750016,S169493037,NA,NA,NA,23,19,18
Annual Review of Food Science and Technology,2010,2023,N/A,USA,(none),Annual Reviews,PSM,No,1941-1413,Q26841961,S4210185937,NA,NA,NA,28,17,21
Annual Review of Genetics,1967,2023,N/A,USA,(none),Annual Reviews,LS,No,0066-4197,Q567358,S92134727,NA,NA,NA,20,22,21
Annual Review of Genomics and Human Genetics,2000,2021,N/A,USA,(none),Annual Reviews,LS,No,1527-8204,Q567360,S8095556,NA,18,29,18,20,21
Annual Review of Immunology,1983,2023,N/A,USA,(none),Annual Reviews,LS,No,0732-0582,Q567362,S109088427,NA,NA,NA,28,22,28
Annual Review of Law and Social Science,2005,2023,N/A,USA,(none),Annual Reviews,SSH,No,1550-3585,Q15758831,S59069355,NA,NA,NA,21,21,29
Annual Review of Linguistics,2015,2023,N/A,USA,(none),Annual Reviews,SSH,No,2333-9683,Q29043886,S4210191548,NA,NA,NA,18,15,18
Annual Review of Marine Science,2009,2023,N/A,USA,(none),Annual Reviews,LS,No,1941-1405,Q18712759,S43203325,NA,NA,NA,22,27,19
Annual Review of Materials Research,1971,2023,N/A,USA,(none),Annual Reviews,PSM,No,1531-7331,Q15752164,S165210498,NA,NA,NA,17,12,19
Annual Review of Medicine,1950,2023,N/A,USA,(none),Annual Reviews,LS,No,0066-4219,Q567363,S16909082,NA,NA,NA,37,28,30
Annual Review of Microbiology,1947,2023,N/A,USA,(none),Annual Reviews,LS,No,0066-4227,Q15762942,S82779230,NA,NA,NA,34,31,37
Annual Review of Neuroscience,1978,2023,N/A,USA,(none),Annual Reviews,LS,No,0147-006X,Q15753632,S131371711,NA,NA,NA,21,19,26
Annual Review of Nuclear and Particle Science,1952,2020,N/A,USA,(none),Annual Reviews,PSM,No,0163-8998,Q2576517,S112282628,18,22,18,18,23,20
